player_id,name,season,team,league,avg_pts,avg_elo,market_value_in_eur,position,height,birthdate,birthplace,nationality,player_profile_links
393323,brenden aaronson,2016/17,bethlehem-steel,NA,4.6,25,NA,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2017/18,bethlehem-steel,L1,6.5,41,50000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2018/19,philadelphia-union,L1,6.3,58,150000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2018/19,philadelphia-union,L1,6.3,58,450000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2018/19,philadelphia-union,L1,6.3,58,800000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2023/24,1-fc-union-berlin,L1,5.1,77,18000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2023/24,1-fc-union-berlin,L1,5.1,77,14000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2022/23,leeds-united-sub-21,L1,6.4,79,30000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2022/23,leeds-united-sub-21,L1,6.4,79,30000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2022/23,leeds-united-sub-21,L1,6.4,79,25000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2020/21,salzburgo,L1,7.3,73,4000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2020/21,salzburgo,L1,7.3,73,8000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2020/21,salzburgo,L1,7.3,73,10000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2020/21,salzburgo,L1,7.3,73,10000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2019/20,bethlehem-steel,L1,5.8,64.5,1500000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2019/20,bethlehem-steel,L1,5.8,64.5,1300000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2021/22,salzburgo,L1,6.9,78,12000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2021/22,salzburgo,L1,6.9,78,20000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
393323,brenden aaronson,2021/22,salzburgo,L1,6.9,78,25000000,Attacking Midfield,"1,77 m","Oct 22, 2000 (23)","Medford, New Jersey",United States,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
315779,christian pulisic,2022/23,chelsea-fc,IT1,4.9,81,38000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
315779,christian pulisic,2022/23,chelsea-fc,IT1,4.9,81,32000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
315779,christian pulisic,2022/23,chelsea-fc,IT1,4.9,81,25000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
315779,christian pulisic,2021/22,chelsea-fc,IT1,6.3,81,45000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
315779,christian pulisic,2021/22,chelsea-fc,IT1,6.3,81,42000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
315779,christian pulisic,2020/21,chelsea-fc,IT1,5.9,80,60000000,Right Winger,"1,77 m","Sep 18, 1998 (25)","Hershey, ...",United States,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
